Time (s),Accelerometer (V),LED Sensor (V),Voice Coil Voltage (V),Voice Coil Current (V)
0.308,2.821747,2.869462,0.365226726,-0.83056735
0.31,3.395631,2.904843,0.363603768,-0.361208828
0.312,4.025022,2.956129,0.360357851,0.271419736
0.314,4.526849,3.007739,0.356462751,0.842052263
0.316,4.647924,3.038901,0.355488975,1.149117
0.318,4.406099,3.038901,0.358410301,1.083874
0.32,3.843573,3.007415,0.362305401,0.669369283
0.322,3.207365,2.958076,0.364577543,0.052969637
0.324,2.683469,2.907115,0.366849685,-0.54687491
0.326,2.450735,2.870111,0.368472644,-0.919505222
0.328,2.64322,2.862321,0.368148052,-0.935734759
0.33,3.149263,2.88699,0.364577543,-0.587448781
0.332,3.834809,2.934706,0.360033259,0.002008785
0.334,4.397659,2.989238,0.357761117,0.626198551
0.336,4.644029,3.028838,0.357111934,1.063424
0.338,4.559309,3.043769,0.357761117,1.157881
0.34,4.115909,3.025917,0.358734892,0.877432809
0.342,3.477753,2.981447,0.362954585,0.321406849
0.344,2.868164,2.926591,0.36782346,-0.31316934
0.346,2.513057,2.880823,0.369121827,-0.802977131
0.348,2.533507,2.862646,0.36782346,-0.975984009
0.35,2.899325,2.874006,0.36587591,-0.771491821
0.352,3.511511,2.913282,0.363279176,-0.261883935
0.354,4.17531,2.967814,0.359708668,0.376587436
0.356,4.582355,3.014881,0.355813567,0.916059282
0.358,4.622281,3.03955,0.355813567,1.164697
0.36,4.312615,3.035005,0.358734892,1.037132
0.362,3.734509,3.000274,0.362305401,0.575886804
0.364,3.095705,2.948988,0.365226726,-0.054145522
0.366,2.612059,2.898676,0.366849685,-0.629645604
0.368,2.439699,2.864269,0.369121827,-0.94936757
0.37,2.700998,2.863619,0.368148052,-0.90132814
0.372,3.286891,2.894131,0.363603768,-0.50175676
0.374,3.863698,2.941522,0.359059484,0.108799369
0.376,4.405125,2.995405,0.357111934,0.717733492
0.378,4.646625,3.033707,0.356787342,1.104647
0.38,4.515488,3.042471,0.357436526,1.136457
0.382,4.022101,3.017802,0.359384076,0.799855286
0.384,3.367066,2.971385,0.36392836,0.214291615
0.386,2.789612,2.919125,0.368148052,-0.410871267
0.388,2.489038,2.876928,0.369121827,-0.856859204
0.39,2.551035,2.861672,0.367174277,-0.967544651
0.392,3.003195,2.878226,0.364902135,-0.704301513
0.394,3.694583,2.922046,0.362305401,-0.158663924
0.396,4.207121,2.973982,0.358410301,0.479483024
0.398,4.604103,3.020723,0.356138159,0.980653142
0.4,4.605402,3.041822,0.356138159,1.17054
